lead_id,created_date,lead_source,company_size,industry,sales_rep,current_stage,mql_date,demo_booked_date,days_mql_to_demo_booked,demo_completed_date,trial_start_date,closed_date,deal_value,churned
L-0001,7/24/2025,Referral,Startup (1-10),Marketing,James Chen,Closed Won,7/25/2025,7/26/2025,1,7/27/2025,8/1/2025,8/14/2025,4977.67,FALSE
L-0002,6/21/2025,Organic Search,SMB (11-50),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-0003,5/18/2025,Paid Ads,Startup (1-10),EdTech,Maria Santos,MQL,5/21/2025,,,,,,0,FALSE
L-0004,6/3/2025,Referral,Mid-Market (51-200),HR Tech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0005,7/8/2025,Organic Search,SMB (11-50),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0006,7/29/2025,Paid Ads,Startup (1-10),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-0007,10/7/2025,Organic Search,SMB (11-50),EdTech,James Chen,MQL,10/10/2025,,,,,,0,FALSE
L-0008,8/4/2025,Referral,Startup (1-10),E-commerce,Tom Wilson,Demo Completed,8/8/2025,8/18/2025,10,8/19/2025,,,0,FALSE
L-0009,1/16/2026,LinkedIn,SMB (11-50),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-0010,6/13/2025,Paid Ads,Mid-Market (51-200),Logistics,Priya Patel,MQL,6/15/2025,,,,,,0,FALSE
L-0011,10/22/2025,Organic Search,Mid-Market (51-200),Logistics,Tom Wilson,Demo Completed,10/24/2025,10/29/2025,5,10/30/2025,,,0,FALSE
L-0012,11/26/2025,Organic Search,Startup (1-10),Logistics,Tom Wilson,MQL,12/1/2025,,,,,,0,FALSE
L-0013,5/28/2025,Paid Ads,Mid-Market (51-200),Marketing,Alex Thompson,MQL,5/30/2025,,,,,,0,FALSE
L-0014,7/1/2025,Cold Outreach,Mid-Market (51-200),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-0015,10/9/2025,Paid Ads,Mid-Market (51-200),SaaS,James Chen,Lead,,,,,,,0,FALSE
L-0016,9/13/2025,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,MQL,9/14/2025,,,,,,0,FALSE
L-0017,4/30/2025,LinkedIn,Mid-Market (51-200),Marketing,James Chen,MQL,5/5/2025,,,,,,0,FALSE
L-0018,6/4/2025,Paid Ads,SMB (11-50),HealthTech,Tom Wilson,MQL,6/8/2025,,,,,,0,FALSE
L-0019,1/2/2026,Paid Ads,SMB (11-50),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-0020,11/11/2025,Referral,Mid-Market (51-200),Logistics,Alex Thompson,Churned,11/15/2025,11/17/2025,2,11/18/2025,11/19/2025,12/16/2025,19766.21,TRUE
